Food Item,Energy (kJ/100g),Dietary Fiber (g/100g),Fat (g/100g),Ash (g/100g),Total sugars (g/100g),Calcium (mg/100g),Phosphorus (mg/100g),Magnesium (mg/100g),Potassium (mg/100g),Sodium (mg/100g),Manganese (mg/100g),Zinc (mg/100g),Copper (mg/100g),Iron (mg/100g),Selenium (ug/100g)
"Linseed, whole, extruded (Linum usitatissimum)/full-fat linseed/full fat flaxseed",2700,9.9,37.6,4.2,2.9,300,630,400,820,52,3.2,5,1.3,16.4,30
"Lupin, blue (Lupinus angustifolius L.)/narrowleaf lupin",2030,15.9,5.9,3.5,5.8,280,380,220,1170,83,6.5,4.3,0.6,6.6,10
"Lupin, white (Lupinus albus L.)",2120,13.2,9.6,4,6.8,300,440,160,1110,34,127.5,3.8,0.6,7.2,9
"Lupin, white, extruded (Lupinus albus L.)",2120,13.2,9.6,4,6.8,300,440,160,1110,34,130.9,3.8,0.6,7.2,9
"Mung bean (Vigna radiata, var. KKM-3), India (24,9 g/100 g protein)",1452,16.3,1.15,3.32,6.6,132,367,189,1246,15,1.035,2.68,0.941,6.74,114
"Mung bean, dehulled (Vigna radiata, var. KKM-3), India (25,7 g/100 g protein)",1452,16.3,1.15,3.32,6.6,132,367,189,1246,15,1.035,2.68,0.941,6.74,114
"Mung bean, cooked (Yulc No.1, Chinese variety), 26,1% protein",441,7.6,0.38,0.79,2,27,99,48,266,2,0.298,0.84,0.156,1.4,24
Pea (Pisum sativum L.),1830,6.4,1.4,3.5,4.8,120,440,130,1140,4,1.5,3.9,0.8,10.8,1
Pea (Pisum sativum L.),1830,6.4,1.4,3.5,4.8,120,440,130,1140,4,1.5,3.9,0.8,10.8,1
"Pea, extruded (Pisum sativum L.)",1830,6.4,1.4,3.5,4.8,120,440,130,1140,4,1.5,3.9,0.8,10.8,1
Pea protein concentrate,2270,0.3,4.7,4.3,2.1,140,490,140,1230,4,1.5,3.9,0.8,10.8,1
"Pea emulsion (soybean oil-in-water emulsion containing a pea isolate), 16.79 g/100 g protein)",339,5.7,0.4,0.87,5.67,25,108,33,244,5,0.41,1.24,0.176,1.47,765
"Peas, cooked (Dingwan No.4, Chinese variety), 24,3% protein",352,5.5,0.22,0.92,5.93,27,117,39,271,3,0.525,1.19,0.173,1.54,801
"Pea, yellow, pressure cooked (Pisum sativum; var. Salamanca) (24,4 g/100 g protein)",-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
"Pistachio nuts, raw (Pistacia vera L.), 27,1 g/100 g protein)",2342,10.6,45.32,2.99,7.66,105,490,121,1025,1,1.2,2.2,1.3,3.92,516
"Pistachio nuts, roasted (Pistacia vera L.), 25,1 g/100 g protein",2392,10.3,45.82,3,7.74,107,469,109,1007,6,1.243,2.34,1.293,4.03,266
"Rapeseed, whole (Brassica napus L., Brassica rapa L., Brassica juncea L.)/full-fat rapeseed/full-fat canola seed",2910,9.2,47.7,4.3,5.9,490,720,260,820,7,4.1,3.7,0.3,8.5,80
"Rapeseed, whole, extruded (Brassica napus L., Brassica rapa L., Brassica juncea L.)/full-fat rapeseed/full-fat canola seed",2910,9.2,47.7,4.3,5.9,490,720,260,820,7,4.1,3.7,0.3,8.5,80
"Soybean, whole, extruded (Glycine max (L) Merr.), extruded full-fat soybean",2330,6.3,20.5,5.7,8.4,330,620,260,2020,5,3,5,1.5,11.9,30
"Soybean, whole, flaked (Glycine max (L) Merr.)/flaked or rolled full-fat soybean",2330,6.3,20.5,5.7,8.4,330,620,260,2020,95,3,4.5,3.9,16.6,30
"Soybean, whole, toasted (Glycine max (L) Merr.)/toasted full-fat soybean",2370,6.5,22.3,5.5,9.2,340,590,250,1960,10,2.3,2.9,2.4,8.2,30
"Soybean, whole, toasted, flaked and expanded (Glycine max (L) Merr.)",2380,6.5,22.8,5.5,8.2,310,570,240,1950,3,3,5,1.5,11.9,30
"Soybean protein concentrate, protein 50-60%",1990,3.9,1.8,7.2,2.1,390,710,350,2190,32,4,5.3,1.4,11.7,1
"Soybean protein concentrate, protein 60-70%",2060,4.4,1.1,6.5,0.8,390,890,340,1450,102,3.9,5.6,1.7,16.1,1
"Soybean protein concentrate, protein 70-90%/soy isolate",2210,1.3,2.5,4.6,0.8,160,570,80,230,276,1,6.6,1.6,9.5,1
"Soya milk (21,83 g/100 g protein)",138,0.4,1.65,0.64,0.41,123,41.5,16,123,35,0.187,0.25,0.115,0.44,206
"Soy bean, full fat, dehulled, extruded (35,8 g/100 g protein)",2330,6.3,20.5,5.7,8.4,330,620,260,2020,5,3,5,1.5,11.9,30
"Sunflower seeds, whole",2870,17.1,48,3.4,2.7,270,570,290,840,7,1.8,5.2,1.7,6.4,9
"Tofu (soya based protein), 23.7 g/100 g protein)",259,0.1,2.7,0.6,1.27,32,90,27,194,36,0.795,0.61,0.203,1.03,0
"Camelina oil meal, oil > 5%",2200,12.2,13.5,6,4.4,380,950,400,1320,5,2.4,4.8,0.7,13.7,0
"Canola meal, oil < 5%",1970,12.7,3.6,7.8,10.5,730,1180,570,1400,45,5.7,6.7,0.5,20.1,100
"Cocoa meal, oil < 5%",1780,15.4,1,10.8,0.9,240,740,450,2060,20,0,0,0,0,0
"Copra meal, oil 5-20%",2020,14.1,10.1,6.8,11.1,130,570,300,1970,44,7.9,7.5,3.3,100.4,0
"Copra meal, oil < 5%",1880,13.6,3.6,7.1,11,100,580,330,2190,81,7.4,6.4,3.4,111.2,0
Corn germ meal,1515,7.3,3.59,1.13,0.64,6,241,127,287,35,0.498,1.82,0.193,3.45,214
"Cottonseed meal, oil 5-20%, crude fibre 15-20%",2140,19.3,8.1,6.3,5,210,1050,560,1560,18,2.6,9.3,2.2,156.5,10
"Cottonseed meal, oil 5-20%, crude fibre < 15%",2190,10.5,10.2,7.3,5,220,1260,680,1740,83,1.4,6.6,1.7,58.1,40
"Cottonseed meal, oil < 5%, crude fibre 15-20%",2040,19,2.8,7.1,2.1,290,1230,680,1730,21,2.6,6,1.2,58.1,60
"Cottonseed meal, oil < 5%, crude fibre < 15%",2050,12.9,2.7,7.3,5.2,230,1270,570,1550,70,2.5,5.2,9.9,58.1,40
Grapeseed oil meal,1950,48.6,1.6,4,0.7,980,230,70,610,16,2.4,1.7,1.7,19.1,4
"Groundnut meal, oil 5-20%/groundnut cake, groundnut oil cake, peanut cake, peanut oil cake, peanut meal, peanut oil meal.",2170,7.2,10.1,5.9,10.4,130,650,340,1340,15,4.4,6.2,1.5,83.3,10
"Groundnut meal, oil < 5%, crude fibre < 9%",2030,7.6,2.6,7,10.7,190,630,340,1420,21,5,6.3,1.8,-1,10
"Groundnut meal, oil < 5%, crude fibre > 9%",2020,13.5,1.1,6.4,9.1,170,630,340,1510,18,4.2,6.2,1.6,57.9,20
"Linseed meal, oil < 5%/flaxseed meal, flaxseed oil meal.",1950,11.3,3.9,6.5,5.1,450,1000,520,1130,106,3.9,6.6,1.8,16.4,70
"Linseed meal, oil > 5%/flaxseed meal, flaxseed oil meal.",2090,9.7,10.7,6.3,4.3,430,930,520,1130,69,3.9,6.6,1.8,16.4,70
"Olive oil cake, with pits, oil < 5%",1870,39.9,2.7,7.8,4.3,1280,160,40,1150,204,3.3,2.5,2.6,0,0
"Olive oil cake, with pits, oil > 5%",2050,37.5,11,6.8,4.3,760,110,40,840,204,3.3,2.5,2.6,0,0
"Olive pulp, oil < 10%",1830,21.4,4.2,8,4.3,1250,170,80,1150,10,3.3,2.5,2.6,0,0
"Olive pulp, oil > 10%",2540,21.4,34.5,5.8,4.3,1120,140,80,840,10,3.3,2.5,2.6,0,0
"Palm kernel meal, oil 5-20%",1990,20.7,8.3,4.8,2.2,300,600,320,690,17,18.8,6.7,2.7,55.3,90
"Palm kernel meal, oil < 5%",1890,20.7,3.2,4.8,2.2,300,610,340,740,17,24.9,5.2,3.1,17.7,90
"Rapeseed meal, oil 5-20%/rapeseed cake/rapeseed meal/canola cake/canola meal ",2140,12.7,12.8,6.7,10,820,1190,530,1250,56,6.3,6.4,0.5,18.7,20
"Rapeseed meal, oil < 5%/rapeseed cake/rapeseed meal/canola cake/canola meal ",1930,14.3,2.4,7.6,10.5,860,1270,460,1410,29,6.8,7.8,0.9,18.3,100
"Sesame meal, oil > 5%/sesame cake, sesame oil cake.",2080,7.7,11.9,11.9,3.6,1990,1230,590,1040,7,6.8,13.3,3.7,163.2,20
"Sheanut oil meal, oil > 5%",2000,10.3,11.6,5.9,0,250,200,160,1440,125,17.6,27.6,18.9,45.9,20
"Soybean meal, oil 5-20%",2110,6.4,9.5,6.6,9.3,370,690,290,2240,11,3.7,5.2,1.8,28,20
"Soybean meal, oil < 5%, 46% protein + oil",1950,7.2,1.9,7.4,10.6,390,710,330,2450,9,3.6,4.1,1.6,27.4,20
"Soybean meal, oil < 5%, 48% protein + oil",1970,6.8,1.8,7.1,9.2,380,710,310,2380,16,4.5,6.2,1.9,27.4,20
"Soybean meal, oil < 5%, 48% protein + oil, extruded",1970,6.8,1.8,7.1,9.2,380,710,310,2380,16,4.5,6.2,1.9,27.4,20
"Soybean meal, oil < 5%, 50% protein + oil",1970,4.4,1.7,7.3,10.8,390,710,320,2430,13,4.4,5.7,1.7,20.1,50
"Soy bean meal/SBM-43, with hulls (43 g/100 g protein",1866,9.3,19.94,4.87,7.33,277,704,280,1797,2,2.517,4.89,1.658,15.7,22
"Soy bean meal/SBM-47, without hulls (47 g/100 g protein)",1866,9.3,19.94,4.87,7.33,277,704,280,1797,2,2.517,4.89,1.658,15.7,22
"Sunflower meal, oil 5-20%, dehulled",2100,19.7,9.5,6.6,7.4,420,1060,520,1540,8,4.5,9.4,3.2,49.6,30
"Sunflower meal, oil 5-20%, non dehulled",2220,27.5,15.8,5.6,6.3,390,900,450,1320,13,3.2,7.8,2.8,29.4,30
"Sunflower meal, oil < 5%, dehulled",1940,19.6,1.4,7.2,7.4,440,1150,560,1660,8,4.5,9.4,3.2,49.6,30
"Sunflower meal, oil < 5%, non dehulled",1940,29.5,2.1,6.8,6,430,1100,530,1590,13,3.9,8.6,3.4,19.8,30
"Fish meal, protein 62%",2020,0,10.3,19.3,0,4860,2990,240,820,1176,2,10.7,1.2,40.5,40
"Fish meal, protein 65%",2050,0,10,18.2,0,4480,2860,240,850,1147,1.9,10.7,1.2,38.2,40
"Fish meal, protein 70%",2130,0,9.8,15.2,0,3370,2480,230,950,997,1.3,10.3,1,31.4,40
Fish (Chinese),531,0,5.6,1.46,0,41,415,29,333,49,0.042,1.48,0.057,1.24,30
"Fish soluble, hydrolysed, (FS Peptide, France), 89% protein",2360,0.1,11,7.3,0,490,1490,200,1190,1053,5.4,12.7,3.8,32.6,200
Shrimp meal,1680,14.3,5.2,26.1,0,11500,1430,910,520,930,0.3,6,2.4,6.9,70
"Beef, Boiled (86,3 g/100 g dm protein), topside steak",528,0,3.26,0.63,0,6,129,16,193,32,0.007,5.02,0.108,1.78,27
"Beef, raw (81,2 g/100 g dm protein), topside steak",828,0,12.73,1.71,0,12,175,19,289,68,0.01,4.55,0.063,1.99,0
"Beef, grilled (88,4 g/100 g dm protein),  topside steak",660,0,3.37,1.26,0,19,305,17,438,76,0.004,4.92,0.066,3.26,10
"Beef, pan fried (83,8 g/100 g dm protein), topside steak",954,0,8.33,1.53,0,6,286,35,484,65,0.02,4.58,0.129,3.4,0
"Beef, roasted (84,6 g/100 g dm protein),  topside steak",658,0,3.72,1.27,0,17,269,15,387,67,0.003,4.34,0.058,2.88,14
"Black soldier fly larvae, fat < 20%, dried",2170,16.1,12,12.8,4.7,4320,800,390,1050,155,25.8,11.6,1.4,19.8,0
"Black soldier fly larvae, fat > 20%, dried",2580,9.4,35.5,11.7,0,3300,720,320,760,99,20.3,10.1,1.2,40.9,0
"Black soldier fly, prepupae, Chinese, 43,1% crude protein",-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
bovine muscle hydrolysate (90 g/100 g dm protein),-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
"bovine collagen hydrolysate (112 g/100 g dm protein, measured as Nitrogen *6,25 so can be slightly above 100)",-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
"Chicken, cooked",770,0,7.42,0.84,0,13,156,22,178,62,0.018,0.97,0.044,0.92,82
"Egg, whole, boiled",649,0,10.61,1.08,1.12,50,172,10,126,124,0.026,1.05,0.013,1.19,520
Egg white protein,187,0,0,0.7,1,6.63,13.5,11.4,147,177,0,0,0.02,0,8.68
"House fly, prepupae, Chinese, 52,9% crude protein",-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
"Mealworm larvae, dried",2780,5.1,35.6,3.6,0,240,770,220,950,83,0.9,12.5,1.8,5.9,50
"Mealworm larvae meal, defatted (Korea), 68% crude protein",-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
"Mealworm larvae hydrolysate, defatted (Tenebrior molitor), 58,9% crude protein",-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
"Poultry by-product, fermented, Korea, 71.5% protein",-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
"Processed animal proteins, pig",1840,1.6,14.3,28.2,0,9120,4420,210,520,638,2.6,11.4,2.1,60.9,50
"Processed animal proteins, poultry, protein 45-60%",2540,1.3,30.8,10.9,0.4,2090,1040,90,570,258,2.5,8.1,1.5,513.1,50
"Processed animal proteins, poultry, protein 60-70%",2440,1,23.2,10.7,0,2320,1250,130,610,401,2.3,10.1,4,158.7,50
"Processed animal proteins, poultry, protein > 70%",2380,1.3,12.1,5.5,0,1530,640,70,380,164,1.9,11.4,1,48.1,50
Porcine plasma hydrolysate (66 g/100 g dm protein),-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
Porcine heart hydrolysate (78 g/100 g dm protein),-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
Porcine muscle hydrolysate (91 g/100 g dm protein),-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
Casein,571,0,9.97,0.38,0,9,64,0,191,79,0.04,0.02,0.025,0.03,89
Infant formula (cow based),2134,0,27,3,57,390,220,41,550,138,0.077,5.1,0.38,9.2,1525
"Cheese whey (CP<17,5%)",1808,0,27,0.4,33.1,340,332,0,1300,511,0,0,0,0.55,5
"Cheese whey (CP 17,5-27,5%)",1808,0,27,0.4,33.1,340,332,0,1300,511,0,0,0,0.55,5
"Cheese whey (CP>27,5%)",1808,0,27,0.4,33.1,340,332,0,1300,511,0,0,0,0.55,5
"Milk powder, skimmed, dried",1830,0,1.6,8.5,50.5,1190,940,120,1650,428,0.2,4.5,0.3,0.7,10
Skim milk powder,145,0,0.18,0.77,4.85,204,101,11,166,52,0,0.4,0.011,0.04,458
Milk protein concentrate,1720,7.1,17.14,3.65,5.71,500,643,200,1129,329,0,7.14,1,8.57,2500
"Milk powder, whole, dried",2320,0,25.1,6.5,34.9,1100,770,100,1390,466,0.1,3.5,0.2,0.7,20
whey permeate,1560,0,1.4,8.7,86.5,680,690,110,2780,647,0.3,0.4,0.2,0.9,20
"whey powder, acid",1530,0,1.3,11.5,66.2,1430,1000,150,2140,747,0.1,6.5,0.2,0.9,20
"whey powder, sweet",1580,0,1.7,10,66.2,1150,870,150,2100,705,0.06,2,0.2,1,30
"whey, dehydrated",1810,0,10.4,8.8,46.8,920,760,150,2150,670,0.2,6.5,0.2,0.9,20
"whey, dried",2010,0,19.6,8.5,41.6,850,720,150,2150,660,0.2,6.5,0.2,0.9,20
"whey protein isolate, (90,6% proteins, Fonterra)",1503,0,1.16,10.77,1.16,698,581,233,872,372,1.16,8.72,1.163,1.26,2907
"Apple pomace, dried",1920,29,3.3,2.3,6.6,100,140,60,330,284,0.6,0.4,0.3,7.5,4
"Bananas, immature, dried",1700,3.6,1.4,4.6,2,100,100,130,2240,5,0.6,0.6,0.4,1.2,4
